Słowo angielskie,Tłumaczenie
flirt,flirtować
florist,"florystka, florysta, kwiaciarka, kwiaciarz"
fluency,"płynność, biegłość w wypowiadaniu się"
fluent,"płynny, biegły"
fluently,"płynnie, biegle"
fly,"pilotować samolot, latać"
foam,piana
following,"poparcie, zwolennicy"
fond,"czuły, ciepły, miły"
fool,"nabrać, oszukać, zwieść"
foolish,"głupi, głupkowaty"
foolishly,"głupio, głupkowato"
forbid,"zakazać, zabraniać"
force,siła (grupa ludzi)
force,"sforsować, wyłamać, wyważyć, wypchnąć"
force,zmusić
form,"założyć, utworzyć"
formerly,"wcześniej, poprzednio, dawniej"
forthcoming,"nadchodzący, zbliżający się"
fortunate,"szczęśliwy, pomyślny"
fortune,fortuna
found,"założyć, ufundować"
fox,lis
fracture,"złamanie, pęknięcie"
fragment,"fragment, część, odłamek"
frankly,"szczerze, otwarcie"
freckles,piegi
free,"wolno, swobodnie"
free,"uwolnić, wyswobodzić"
freedom,"wolność, swoboda"
freely,"bez ograniczeń, swobodnie"
freeze,marznąć
freeze,zastygać w bezruchu
frequency,częstotliwość (fal radiowych)
fresh,świeży
friendliness,"życzliwość, przyjazne nastawienie"
frighten,"przestraszyć, przerazić"
fringe,grzywka
frost,mróz
frustration,frustracja
fuel,"podsycać, napędzać"
full,"najedzony, pełny"
function,funkcja
function,"funkcjonować, działać"
functional,"funkcjonalny, praktyczny"
funeral,pogrzeb
furious,wściekły
furiously,"wściekle, z wściekłością"
furthermore,"ponadto, co więcej"
gambling,hazard
gang,"gang, grupa przestępcza"
gardener,"ogrodniczka, ogrodnik"
gardening,ogrodnictwo
gasoline,benzyna (AmE)
gather,"zebrać, zgromadzić"
gather,"zebrać się, zgromadzić się"
gear,"wyposażenie, sprzęt, przybory, akcesoria"
gear,bieg (w samochodzie)
gender,płeć
generate,"przynosić, tworzyć, wzbudzać, wywoływać, generować"
generate,"wytwarzać, generować (energię)"
generation,generacja
generosity,hojność
generously,hojnie; wspaniałomyślnie
genetics,genetyka
gentleman,dżentelmen
gently,"łagodnie, delikatnie"
genuinely,"prawdziwie, szczerze, autentycznie"
gift-wrap,"pakować na prezent, zapakować w papier ozdobny"
gingerbread,piernik
glanceglance,"rzut okiem, spojrzenie, zerknięcie"
glanceglance,"rzucić okiem, zerknąć"
glider,szybowiec
global,"globalny, światowy"
globally,"globalnie, na całym świecie"
glue,klej
god,"bóg, bóstwo, bożek"
good,dobro
good-natured,"pogodny, dobroduszny, łagodny"
google,"guglować, wyguglać (szukać w wyszukiwarce Google)"
gorilla,goryl
gossip,plotkować
gossip,"plotka, plotki"
govern,"rządzić, zarządzać, sprawować władzę"
gradual,stopniowy
gradually,stopniowo
graduate,"ukończyć szkołę, studia"
graduate,absolwent
grant,"przyznać, udzielić, wyrazić zgodę"
graph,wykres
grave,grób
gravely,poważnie
graveyard,cmentarz
gravy,sos pieczeniowy
greatly,"bardzo, ogromnie"
greatness,"wielkość, geniusz"
greedy,chciwy
green,"zielony, ekologiczny"
grief,"rozpacz, żal, smutek"
grip,"uścisk, chwyt"
grip,"mocno chwycić, ściskać"
ground,ziemia (grunt)
growing,"rosnący, narastający"
grown-up,"dorosły, osoba dorosła"
grown-up,dorosły
growth,wzrost
guarantee,gwarantować; udzielić gwarancji
guarantee,gwarancja
guard,"stać na straży, chronić, strzec"
guidance,"poradnictwo, wskazówki, rada, pomoc"
guilt,wina
gulf,zatoka
gum,dziąsło
guts,odwaga (infml.)
gymnastic,gimnastyczny
habit,"nałóg, uzależnienie"
hair,włos
hairpin,szpilka do włosów
half-brother,brat przyrodni
half-sister,siostra przyrodnia
hallway,"przedpokój, korytarz"
hammer,młotek
handbrake,hamulec ręczny
handle,"uchwyt, klamka, rączka, trzonek"
handout,"kopia do rozdania, materiał dla słuchaczy"
hang,powiesić (człowieka)
hard,"surowy, ostry"
hard-working,pracowity
harm,"skrzywdzić, wyrządzić krzywdę"
harm,"krzywda, szkoda"
harmful,szkodliwy
harmless,"nieszkodliwy, niegroźny"
harmonica,harmonijka ustna
harmony,harmonia
harvest,"żniwa, plon, zbiór"
haunt,prześladować
haunt,"straszyć, nawiedzać"
hay,siano
hazelnut,orzech laskowy
head,"kierować, stać na czele"
headlight,reflektor przedni
headphones,słuchawki (nauszne)
headquarters,"siedziba, kwatera główna"
heal,goić się
health care,opieka zdrowotna
heat,"ogrzewać (się), podgrzewać"
heaven,"niebo, raj"
hedge,żywopłot
heel,pięta
hell,piekło
helmet,kask
helper,"pomocnik, asystent, asystentka"
hen,kura
heroine,bohaterka
hesitate,wahać się
high-tech,nowoczesnej technologii
highlight,podkreślić
highlight,główna atrakcja
highlight,zaznaczać
highly,"wielce, bardzo, wysoce"
hint,aluzja
hint,"wskazówka, rada"
hip,biodro
hire,"wypożyczenie, wynajem"
hire,"zatrudnić, nająć do pracy"
hit,"odsłona, wejście na stronę internetową"
hold,"przetrzymywać, więzić"
hold,chwyt
honestly,"uczciwie, szczerze"
honesty,"uczciwość, szczerość"
honour,"honor, zaszczyt"
hood,kaptur
hook,"hak, haczyk"
hoop,obręcz
hopefully,"z nadzieją, ufnie"
horn,klakson
horrific,"przerażający, straszliwy, straszny, okropny"
horror,"groza, okropność, horror, przerażenie"
host,gospodarz
hourly,"godzinowy, cogodzinny"
household,gospodarstwo domowe
hunt,poszukiwać
hunter,"łowca, myśliwy"
hunting,polowanie
hurricane,huragan
hyphen,"łącznik, dywiz, kreska"
icing,lukier
icon,ikona
icy,"lodowaty, oziębły"
idea,"wyobrażenie, pojęcie"
ideal,idealny
ideally,idealnie
identical,identyczny
identification,"identyfikacja, rozpoznanie"
identify,"zidentyfikować, rozpoznać"
identify,"określić, ustalić"
identity,tożsamość
idiom,idiom
idiot,idiota
ignition,zapłon
ignore,ignorować
illegal,nielegalny
illegally,nielegalnie
illustrate,"ilustrować, zrobić ilustracje"
image,"wizerunek, image"
image,"obraz, zdjęcie"
immediate,natychmiastowy
immigrant,"imigrant, imigrantka"
immigration,imigracja
immoral,niemoralny
impact,"wpływ, efekt"
impatient,niecierpliwy
impatiently,"z niecierpliwością, niecierpliwie"
implement,wdrażać
impolite,nieuprzejmy
import,importować
importantly,"co istotne, co ważne"
impress,"zrobić wrażenie na, zaimponować"
impressed,pod wrażeniem
impression,wrażenie
impressive,imponujący
improved,"udoskonalony, poprawiony, ulepszony"
inaccurate,"niedokładny, nieścisły"
incident,"incydent, zajście"
income,dochód
inconvenient,niedogodny
increase,wzrost
increasingly,"coraz bardziej, coraz częściej"
incredibly,"niesamowicie, niewiarygodnie"
independence,niepodległość
independence,"samodzielność, niezależność"
independent,niezależny
independent,"niepodległy, niezależny"
independently,"niezależnie, samodzielnie"
indicate,"sygnalizować, wskazywać"
individual,"jednostka, osoba"
industrial,przemysłowy
inexperienced,niedoświadczony
infection,infekcja
inflation,inflacja
influence,wpływ
influence,"wpływać na, wywierać wpływ na"
informal,"nieformalny, nieoficjalny"
inhabitant,mieszkaniec
initial,"początkowy, wstępny"
initially,początkowo
injured,poszkodowany; zraniony
injury,kontuzja; rana
inner,wewnętrzny
innocent,"niewinny, prostolinijny, prostoduszny, nieszkodliwy"
innocent,"niewinny, bez winy"
innocently,niewinnie
innovation,innowacja
input,dane wejściowe
input,"wkład, udział"
inquire,"zapytać, dopytywać, dowiadywać się"
inside,wewnętrzny
inside,wnętrze
insincere,nieszczery
inspector,"inspektor, kontroler"
inspiration,"inspiracja, natchnienie"
inspire,"inspirować, natchnąć"
instant,natychmiastowy
instantly,"natychmiast, od razu"
institute,instytut
institution,instytucja
insult,"obraza, zniewaga, obelga"
insult,"obrazić, znieważyć"
insulting,obraźliwy
insurance,ubezpieczenie
intellectual,"intelektualny, umysłowy"
intelligence,inteligencja
intensive,intensywny
intention,"intencja, zamiar"
interact,"współpracować, współżyć, komunikować się"
interaction,interakcja
interactive,interaktywny
interfere,"wtrącać się, ingerować"
interior,wnętrze
internal,wewnętrzny
interpret,tłumaczyć (ustnie)
interruption,"zakłócenie, przerwa"
intransitive,nieprzechodni (czasownik)
introduce,wprowadzać
introduction,"wstęp, wprowadzenie"
introduction,"zapoznanie, przedstawienie się, prezentacja"
invade,"najechać, dokonać inwazji"
invasion,inwazja
inventor,wynalazca
inventory,"wykaz, spis inwentarza, inwentaryzacja"
invest,"zainwestować, poświęcić, włożyć (wysiłek, czas, starania)"
invest,inwestować
investigate,"prowadzić dochodzenie, dociekać, badać"
investigation,dochodzenie
investigator,"śledczy, oficer śledczy"
investment,inwestycja
investor,inwestor
invisible,"niewidzialny, niewidoczny"
invoice,faktura
involved,"zaangażowany, zamieszany"
involvement,"zaangażowanie, udział, uczestnictwo"
irregular,"nieregularny, nierównomierny"
irresponsible,nieodpowiedzialny
irritated,"poirytowany, zirytowany"
irritating,irytujący
issue,"numer, wydanie"
itch,swędzieć
jaguar,jaguar
jam,"korek (uliczny), ścisk, tłok"
jaw,szczęka
jealously,"zazdrośnie, z zazdrością"
jealousy,zazdrość
jelly,galaretka
jewel,"kamień szlachetny, klejnot"
job,"zadanie, obowiązek"
joint,wspólny
jointly,wspólnie
journalism,dziennikarstwo
joy,radość
joyful,radosny
judge,"sędzia, sędzina"
judgement,osąd (ocena sytuacji)
judo,dżudo
junior,"pracownik niższego szczebla, stażysta"
junior,"niższy rangą, niższego szczebla"
jury,ława przysięgłych
justice,sprawiedliwość
justify,"uzasadnić, usprawiedliwić"
kangaroo,kangur
keep,"hodować, trzymać"
key,kluczowy
key,klawisz
kind-hearted,"dobroduszny, życzliwy"
kindness,uprzejmość
kingdom,królestwo
kneel,klęczeć
known,znany
lace,koronka
lack,"cierpieć na brak, nie mieć"
landing,lądowanie
landlady,"gospodyni, właścicielka"
landlord,"gospodarz, właściciel"
lane,"pas (np. jezdni), tor"
lap,okrążenie
lap,kolana
largely,"w znacznym stopniu, w dużej mierze"
lasagne,"lazania, lasagne"
laser,laser
last,"ostatni, najmniej oczekiwany"
last-minute,"ostatni, w ostatniej chwili"
lastly,"wreszcie, na koniec"
later,późniejszy
latter,"późniejszy, drugi (z wymienionych)"
laughter,śmiech
launch,wprowadzić na rynek
launch,"rozpocząć (np. kampanię reklamową, dochodzenie)"
launch,"odpalenie, wystrzelenie"
launch,"wprowadzenie nowego produktu na rynek, początek kampanii, impreza promująca wprowadzenie produktu na rynek"
laundry,pranie
layer,warstwa
laziness,lenistwo
lead,"czołówka, prowadzenie"
lead,prowadzić (wygrywać)
leading,czołowy
leaflet,ulotka
leak,"przeciekać, cieknąć"
leak,"przeciek, wyciek"
lean,"przechylać (się), schylać (się)"
learner,"uczeń, uczący się"
learning,"uczenie się, nauka"
leash,smycz
lecturer,"lektorka, lektor (wykładowca)"
leek,por
legal,"prawniczy, prawny"
legal,legalny
legally,"legalnie, prawnie, zgodnie z prawem"
legend,legenda
leopard,lampart
level,"równy, na jednym poziomie, płaski"
liar,"kłamczucha, kłamca"
liberty,wolność
librarian,"bibliotekarka, bibliotekarz"
lick,lizać
lid,"pokrywka, wieczko, klapa"
life,"życie (witalność, energia)"
lifeboat,łódź ratunkowa; szalupa
lifebuoy,koło ratunkowe
lifeguard,ratowniczka/ratownik wodny
lifestyle,styl życia
lifetime,"życie, długość życia"
lighting,oświetlenie
limit,ograniczyć
linen,"len (tkanina), płótno"
link,"łączyć, powiązać"
lipstick,szminka
list,"wyliczać, wymieniać, robić listę"
literally,dosłownie
literary,literacki
litter,śmieci
little,"niewiele, mało"
liver,wątroba
living,"utrzymanie, życie"
living,"żyjący, żywy"
lizard,jaszczurka
load,załadować
load,ładunek
loaf,bochenek
lobby,hol
locate,zlokalizować
logical,logiczny
long-distance,"długodystansowy, zamiejscowy"
long-term,długoterminowy
look,"wygląd, ""look"""
loosely,luźno
lord,lord
loser,przegrany
loss,"strata, utrata, zagubienie"
loudspeaker,głośnik
lounge,hol
lower,"niższy, dolny"
lower,"obniżyć, spuścić, zniżyć"
loyal,lojalny
loyalty,lojalność
lung,płuco
lyrics,tekst piosenki
magical,magiczny
maintain,"utrzymywać, konserwować"
maintenance,"konserwacja, utrzymanie (urządzeń itp.)"
major,"ważny, główny, znaczny"
majority,większość
make,marka (np. samochodu)
maker,"producent, wytwórca"
male,mężczyzna
management,"zarząd, dyrekcja"
management,zarządzanie
mankind,ludzkość
manner,"sposób (np. zachowania, bycia)"
manual,"podręcznik, instrukcja"
manual,"manualny, ręczny, fizyczny"
manufacture,"produkować, wytwarzać"
manufacturer,"producent, wytwórca"
manufacturing,"wytwórstwo, produkcja"
marathon,maraton
mark,"oznaczyć, oznakować, zaznaczyć"
mark,"oceniać, sprawdzać"
marker,"market, flamaster, gruby pisak"
marketing,marketing
marketplace,"rynek, targowisko"
Mars,Mars
mascara,tusz do rzęs
mask,maska
mask,maseczka
mass,masowy
massive,"masywny, ogromny"
material,materiał
material,"materiał, tworzywo, substancja"
material,materialny
mathematical,matematyczny
matter,"sprawa, kwestia, problem"
mature,dojrzały
mayor,"prezydent miasta, burmistrz, mer"
meadow,łąka
mean,"złośliwy, podły"
mean,skąpy
meaningful,"znaczący, ważny, poważny"
means,"środek, środki, sposób"
measles,odra
measure,mierzyć
measure,"środek, krok, sposób"
measurement,"wymiar, pomiar"
meatball,klops
mechanical,"mechaniczny, maszynowy"
medal,medal
media,media
medical,"medyczny, lekarski"
medication,"lek, leki"
medieval,średniowieczny
melt,"roztapiać (się), rozpuścić (się)"
memorable,niezapomniany
mental,"psychiczny, mentalny, umysłowy"
mentally,"psychicznie, mentalnie, umysłowo"
mention,"wzmianka, napomknięcie"
meow,miauczeć
mere,"sam (wystarczy, żeby)"
merely,"zaledwie, jedynie"
mess,"ubrudzić, nabałaganić"
meter,"licznik, miernik"
microphone,mikrofon
middle,środkowy
midsummer,"środek lata, pełnia lata"
mild,"łagodny, lekki, ledwo wyczuwalny"
military,wojsko
military,"wojskowy, militarny"
mince,mielić
mine,kopalnia
minibus,mikrobus
minister,minister
minor,"niewielki, drobny, pomniejszy"
minority,mniejszość
mint,mięta
minus,"minus, wada"
miracle,cud
miserable,"nędzny, żałosny, opłakany"
misery,"niedola, cierpienie, nędza, nieszczęście"
misleading,mylący
miss,chybić
mist,"mgła, zamglenie"
misty,"mglisty, zamglony"
misunderstand,źle zrozumieć
misunderstanding,nieporozumienie
mix,"spotykać się, nawiązywać znajomości"
mixed,"łączony, mieszany, różnorodny"
mixture,"mieszanina, mieszanka"
modest,skromny
monitor,monitor
moonlight,światło księżyca
mop,zmywać mopem
moral,"moralny, etyczny"
morally,moralnie
moreover,"ponadto, co więcej"
mother-in-law,teściowa
motivated,zmotywowany
motivation,motywacja
motive,motyw
motor,silnik
motorist,kierowca
move,przeprowadzka
move,"ruch, posunięcie"
move,"poruszyć, wzruszyć"
movement,"ruch (zmiana pozycji ciała, przemieszczanie się)"
moving,"poruszający, wruszający"
mud,błoto
muddy,błotnisty
mudguard,błotnik
mumble,"bełkotać, mamrotać"
mumps,świnka
muscle,mięsień
musical,musical
mutter,mamrotać
mysterious,tajemniczy
myth,mit
nail,paznokieć
naked,nagi
narrowly,"ledwo, ledwie, o mało co"
nasty,"wstrętny, paskudny, zły, złośliwy, niemiły"
nation,"kraj, państwo; naród"
nationwide,"w całym kraju, na cały kraj, ogólnokrajowo"
nationwide,ogólnokrajowy
native,"tubylczy, rodzimy, ojczysty"
naturally,"naturalnie, oczywiście"
naturally,"naturalnie, swobodnie, z luzem"
nature,"charakter, usposobienie, natura"
naughty,niegrzeczny
navel,pępek
navy,marynarka wojenna
necessarily,"koniecznie, z konieczności"
need,potrzeba
needle,igła
negative,"negatywny, zły, szkodliwy"
negatively,negatywnie
neighbouring,sąsiadujący
neither,też nie
neither,"żaden  (z dwóch); ani jeden, ani drugi"
nerve,nerw
nerves,"zdenerwowanie, nerwy"
nervously,nerwowo
network,sieć
nevertheless,"mimo to, niemniej jednak"
newly,"świeżo, nowo, od niedawna"
nicely,"ładnie; przyjemnie, miło"
nightgown,koszula nocna
nightie,koszula nocna
nod,"skinąć głową, przytaknąć"
non-smoking,"niepalący, dla niepalących"
nonsense,"nonsens, bzdura"
nor,ani
note,nuta
novelist,powieściopisarz
now/now that,"ponieważ, teraz gdy"
nuclear,"nuklearny, jądrowy, atomowy"
nuisance,"uciążliwość, kłopot, utrapienie; uciążliwa osoba lub sytuacja"
nursery,żłobek
nut,orzech
oak,dąb
obedient,posłuszny
obesity,otyłość
obey,"przestrzegać (przepisów itp.), słuchać się, podporządkować się"
object,sprzeciwiać się
objection,"sprzeciw, zastrzeżenie"
objective,obiektywny
objective,cel
obligation,"obowiązek, zobowiązanie"
observation,obserwacja
observe,obserwować
obsession,obsesja
obtain,"uzyskać, otrzymać"
occasional,"sporadyczny, okazjonalny"
occasionally,"sporadycznie, czasami"
occupy,"zajmować (przestrzeń), zabierać (miejsce)"
occur,"wydarzyć się, wystąpić"
octopus,ośmiornica
odd,dziwny
off,zepsuty (o jedzeniu)
offence,"obraza, uraza"
offence,"wykroczenie, przewinienie"
offend,obrazić
offender,"przestępca, sprawca"
offensive,obraźliwy
officer,oficer
official,"oficjalny, urzędowy"
open,"otwarty, szczery"
opening,otwarcie
operate,"działać, pracować (o urządzeniu)"
operate,"obsługiwać (urządzenie, maszynę)"
operate,"prowadzić działalność, pracować, działać"
operator,"organizator (np. wycieczek turystycznych), operator"
operator,operator
operator,"telefonistka, telefonista, operatorka, operator"
opponent,przeciwnik
opportunity,"możliwość, okazja"
oppose,"sprzeciwiać się, przeciwstawiać się"
optimistic,"optymistyczny, pogodny"
optional,"opcjonalny, dodatkowy"
oral,"ustny, doustny"
orchestral,orkiestrowy
organic,organiczny
organise,"porządkować, układać"
organiser,organizator
organism,organizm
organized,zorganizowany
origin,"pochodzenie, początek, źródło"
original,oryginał
originally,"początkowo, pierwotnie"
others,"inne, inni"
otherwise,poza tym
ought to,powinno się
outer,zewnętrzny
outfit,"strój, ubiór"
outline,"zarys, szkic"
outline,"zarysować, przedstawić w skrócie"
outrageous,"skandaliczny, bulwersujący, oburzający, szokujący, horrendalny"
outside,zewnętrzny
outskirts,"obrzeża miasta, peryferie"
outstanding,"wybitny, wyróżniający się"
oval,owal
oval,owalny
over,"na drugą stronę, na bok"
overall,"w sumie, ogólnie rzecz biorąc"
overall,"ogólny, całkowity"
overcome,"zwalczyć, przezwyciężyć, pokonać (przeszkodę, trudności)"
overlook,"mieć widok na, wychodzić na"
overseas,"zagraniczny, zamorski"
overseas,"za granicą, za granicę"
overtake,"wyprzedzić, prześcignąć"
overtime,nadgodziny
overweight,"z nadwagą, mający nadwagę"
owl,sowa
ox,wół
oxygen,tlen
pace,tempo
pack,"opakowanie, paczka"
package,"paczka, pakunek, pakiet"
packed,zatłoczony
pain,"ból (cierpienie, smutek)"
painful,bolesny
painkiller,środek przeciwbólowy
pale,blady
pancake,naleśnik
panic,"panikować, wpaść w panikę, przestraszyć się"
panic,panika
paperwork,"biurokracja, robota papierkowa"
parachute,spadochron
parade,parada
paramedic,sanitariusz
parliament,parlament
parsley,pietruszka
partial,częściowy
participant,uczestnik
participate,"uczestniczyć, wziąć udział"
participation,udział
partnership,"partnerstwo, współpraca partnerska"
pass,zaliczenie
passage,"fragment, ustęp, urywek"
passage,przejście; pasaż
passion,namiętność; pasja
passionate,"namiętny; żarliwy, pełen pasji"
passionately,"namiętnie, żarliwie, z przejęciem, z pasją"
passive,"pasywny, bierny"
past,przeszłość
patience,cierpliwość
patiently,cierpliwie
pause,"przerwa, pauza"
pause,"zatrzymać, przerwać, wcisnąć pauzę"
paw,łapa
payment,"zapłata, płatność"
peacefully,spokojnie
peculiar,"osobliwy, dziwny"
pedal,pedał
penalty,rzut karny
penalty,kara
pension,emerytura
percentage,"procent, odsetek"
perform,"wykonywać, przeprowadzać, robić"
performance,"wyniki, osiągi, wydajność"
period,"okres, miesiączka, menstruacja"
permanently,"permanentnie, na stałe"
permit,"pozwolenie, przepustka"
personality,osobowość
personally,"osobiście, sam, sama"
persuade,przekonywać
pessimistic,pesymistyczny
petrified,przerażony
pharmacist,farmaceuta
phase,"faza, etap"
phenomenon,zjawisko
philosopher,filozof
philosophy,filozofia
photocopy,kserować
photograph,"fotografować, robić zdjęcia"
physical,fizyczny
physically,fizycznie
pick,wybór
pickpocket,kieszonkowiec
picturesque,malowniczy
piece,"utwór, kawałek; artykuł"
pigeon,gołąb
pine,sosna
pint,"pinta (pół kwarty, pół litra); kufel piwa, duże piwo"
pipe,fajka
pitch,boisko
pity,"litość, współczucie"
place,umieścić
planning,planowanie
play,zabawa
plot,"fabuła, intryga"
plumber,hydraulik
plus,"plus, zaleta, korzyść"
point,sens
point,"argument, opinia, kwestia"
poison,trucizna
poison,"otruć, zatruć"
poisonous,jadowity
poisonous,trujący
poker,poker
policy,"polityka (linia postępowania, zasady)"
politeness,"uprzejmość, grzeczność"
poll,"badanie opinii publicznej, ankieta, sondaż"
pollute,zanieczyszczać
pond,"staw, oczko wodne"
ponytail,kucyk
pool,kałuża
population,populacja
porridge,owsianka
portion,porcja
portrait,portret
posh,"wykwintny, elegancki, wytworny, z wyższych sfer"
position,stanowisko
positively,pozytywnie
possession,"własność, posiadana rzecz"
possibility,"opcja, możliwość"
post,stanowisko
potential,potencjał
potential,potencjalny
potentially,potencjalnie
pottery,garncarstwo
pound,"walić, tłuc, łomotać"
poverty,bieda
power,"władza, kontrola"
powerfully,"mocno, efektywnie"
practical,praktyczny
practically,"niemal, praktycznie"
praise,chwalić
prawn,krewetka
precious,"cenny, drogocenny; szlachetny"
precise,"precyzyjny, dokładny"
precisely,"precyzyjnie, dokładnie"
predictable,przewidywalny
prediction,"prognoza, przewidywanie"
preferable,"preferowany, lepszy"
preferably,"najlepiej, najchętniej"
preference,"upodobanie, preferencja, wybór"
prefix,"przedrostek, prefiks"
prejudice,"uprzedzenie, uprzedzenia"
presence,obecność
present,"wręczyć, dawać, ofiarować"
present,"prezentować, przedstawiać, wystawiać, pokazywać"
presenter,prezenter
preserve,"zachować, ochronić"
presidency,"prezydentura, urząd prezydenta"
presidential,prezydencki
press,prasa
pressure,"presja, nacisk, stres"
presumably,"przypuszczalnie, prawdopodobnie"
pretend,udawać
prevention,"zapobieganie, prewencja"
price,wycenić
priceless,bezcenny
pride,"duma, satysfakcja"
primarily,"głównie, przede wszystkim"
primary,"podstawowy, główny, najważniejszy"
principal,"dyrektor szkoły, dyrektorka szkoły (AmE)"
print,druk
priority,priorytet
privacy,"intymność, prywatność"
privately,"prywatnie, nieoficjalnie"
probable,prawdopodobny
procedure,procedura
process,"rozpatrzyć, przeanalizować, załatwić, przetworzyć"
process,przetwarzać
process,proces
producer,producent
production,produkcja (proces)
productive,"produktywny, owocny, wydajny"
professional,"profesjonalny, fachowy"
profile,"profil, charakterystyka"
profit,zysk
profitable,"pożyteczny, produktywny, owocny"
profitable,"dochodowy, rentowny, opłacalny"
program,programować
programming,programowanie
progress,"robić postępy, poprawiać się"
progressive,postępowy
prohibit,"zakazać, zabronić"
promote,"promować, reklamować"
promotion,"promocja, reklamowanie czegoś"
promotion,awans
prompt,"szybki, natychmiastowy, bezzwłoczny, punktualny"
promptly,"bezzwłocznie, szybko, natychmiast, punktualnie"
proof,dowód
property,"nieruchomość, posiadłość"
proposal,oświadczyny
proposal,"oferta, propozycja"
propose,proponować
propose,oświadczyć się
proposed,proponowany
prospect,"perspektywa, szansa"
protection,ochrona
protest,protestować
protest,protest
proudly,"z dumą, dumnie"
provided,"o ile; pod warunkiem, że"
providing,"o ile; pod warunkiem, że"
psychological,psychologiczny
psychologically,"psychologicznie, psychicznie"
psychologist,psycholog
psychology,psychologia
public,"lud, ludzie, społeczeństwo; opinia publiczna"
publication,"wydanie, publikacja"
publicity,"rozgłos, reklama"
publisher,wydawca
punch,"uderzyć, zadać cios pięścią"
punch,"uderzenie, cios"
punishment,kara
purchase,"zakup, nabytek"
purchase,"zakupić, nabyć"
puzzled,"zdziwiony, zdezorientowany"
pyjamas,piżama
qualified,"kompetentny, wykwalifikowany"
qualify,"mieć prawo, kwalifikować się, przysługiwać"
qualify,zakwalifikować (się)
qualify,zdobyć kwalifikacje
quality,"cecha, atrybut"
quarrel,kłótnia
quarrel,kłócić się
query,zapytanie
question,kwestionować
question,"wypytywać, przepytywać"
queue,stać w kolejce
quiet,"cisza, spokój"
racial,rasowy
racism,rasizm
radish,rzodkiewka
rage,wściekłość
rainbow,tęcza
rainfall,opady
raise,"poruszyć, podnieść (temat, kwestię)"
raise,wychowywać
raise,"zbierać (fundusze, pieniądze)"
ranch,ranczo
range,"pasmo, masyw"
range,"wahać się (w jakimś przedziale), obejmować"
range,"przedział (np. cenowy, wiekowy)"
rape,gwałt
rape,zgwałcić
rapid,"błyskawiczny, gwałtowny, szybki"
rapidly,"błyskawicznie, gwałtownie, szybko"
raspberry,malina
rate,"tempo, prędkość"
rate,"stawka, kurs"
rating,"notowanie, ocena"
ray,"promień, promyk"
razor,"maszynka do golenia, golarka"
reach,zasięg
reach,"dosięgnąć, osiągać"
react,reagować
reaction,"reakcja, odruch"
readily,"chętnie, bez wahania; łatwo"
realistic,realistyczny
reality,rzeczywistość
rear,tylny
rearrange,"przestawić, przełożyć, zmienić ułożenie, przearanżować"
reasonable,rozsądny
reasonably,rozsądnie
rebel,"buntowniczka, buntownik"
rebel,buntować się
recall,przypominać sobie
reception,przyjęcie (np. weselne)
recession,recesja
recipient,odbiorca
reckon,"uważać, sądzić, myśleć"
recommendation,"rekomendacja, zalecenie"
record,"zapisać, zanotować, rejestrować"
recovery,"wyzdrowienie, powrót do zdrowia"
recreation,"rekreacja, wypoczynek, relaks, rozrywka"
rectangular,prostokątny
redcurrant,czerwona porzeczka
reduction,"obniżka, redukcja, zmniejszenie"
redundant,"zbędny, niepotrzebny"
redundant,zwolniony (z pracy)
referee,"sędzia, arbiter"
reference,"list polecający, referencje"
refugee,uchodźca
regain,odzyskać
regard,"uważać (za coś, za kogoś)"
regional,regionalny
regret,"żal, smutek"
regulation,"przepis, regulacja prawna, rozporządzenie"
rehearsal,"próba (np. teatralna, przed wystąpieniem)"
reject,odrzucić; odtrącić
related,spokrewniony
relations,krewni
relatively,"stosunkowo, względnie"
release,"wydać, wypuścić na rynek (płytę, film, itp.)"
release,"zwolnić, wypuścić z więzienia, uwolnić"
release,"film, płyta"
relevant,"powiązany, na temat, istotny"
relief,ulga
relieved,"uspokojony, odczuwający ulgę"
religious,religijny
remaining,pozostały
remains,szczątki
remark,"wspomnieć, skomentować, zauważyć"
remark,uwaga
remarkable,"niezwykły, godny odnotowania"
remedy,lekarstwo
remote,"daleki, odległy"
renew,"odnowić, przedłużyć"
repay,"spłacić, oddać"
repay,"odwdzięczyć się, zrewanżować się, odpłacić"
repeat,"powtórzenie, powtórka"
replacement,"zastępca, zastępczyni, zastępstwo"
represent,symbolizować
represent,"odpowiadać, stanowić"
representative,przedstawiciel
reputation,reputacja
requirement,wymaganie
research,"badać, prowadzić badania naukowe"
researcher,"badaczka, badacz, pracownik naukowy"
reserve,rezerwat
resident,mieszkaniec
residential,"mieszkalny, mieszkaniowy"
resign,"zrezygnować z pracy/stanowiska, złożyć wypowiedzenie"
resist,"oprzeć się, powstrzymać się (od)"
resource,"zasób, źródło"
resourceful,"pomysłowy, przedsiębiorczy, zaradny, obrotny"
respect,"uszanować, respektować, przestrzegać"
respectable,"poważany, porządny, przyzwoity"
respected,"szanowany, poważany"
respond,"reagować, odpowiadać"
response,"reakcja, odpowiedź"
responsibility,obowiązek
responsible,odpowiedzialny
responsible,odpowiedzialny
restore,"odnowić, odrestaurować, odbudować"
retired,emerytowany
retirement,emerytura (okres życia)
retirement,"przejście na emeryturę, emerytura (zakończenie działalności zawodowej)"
reveal,ujawnić
revenge,"zemsta, rewanż"
