Słowo angielskie,Tłumaczenie
if,gdyby
illness,choroba
imagination,wyobraźnia
imagine,wyobrazić sobie
immigration,kontrola paszportowa
importance,"waga, znaczenie"
impossible,niemożliwy
improvement,"poprawa; usprawnienie, ulepszenie"
in,"w domu, w pracy (to be in)"
in love,zakochany
in tears,"we łzach, zapłakany"
inch,cal
incorrect,"nieprawidłowy, błędny"
increase,zwiększać (się)
incredible,"niesamowity, nieprawdopodobny, cudowny, wspaniały"
indeed,"naprawdę, w rzeczy samej, istotnie, faktycznie, zaiste, rzeczywiście"
individual,"osobisty, indywidualny"
individual,"poszczególny, pojedynczy, osobny"
indoors,"do domu, w domu, wewnątrz"
industry,przemysł
industry,branża
inexpensive,niedrogi
infinitive,bezokolicznik
inform,informować
ingredient,składnik
initial,inicjał
injure,"zranić, uszkodzić, kontuzjować"
ink,"atrament, tusz"
inquiry,zapytanie
insist,nalegać
install,instalować
instructor,instruktor
intelligent,inteligentny
intend,"zamierzać, planować"
intended,"zamierzony, zaplanowany"
interest,zainteresowanie
interest,interesować
intermediate,"średnio zaawansowany, średni"
internationally,"międzynarodowo, na całym świecie"
interrupt,"przeszkadzać, wtrącać się, przerwać"
interval,"przerwa, antrakt"
interview,wywiad
interview,przeprowadzać wywiad
introduce,"przedstawić, zapoznać"
invent,wynaleźć
invention,wynalazek
involve,"dotyczyć, obejmować"
involve,"wiązać się z, wymagać, pociągać za sobą"
iron,prasować
iron,żelazko
iron,żelazo
ironing,prasowanie
irregular,nieregularny
issue,"kwestia, zagadnienie"
item,"element, przedmiot, rzecz; pozycja, punkt (na liście)"
jail,więzienie
jar,słoik
jealous,zazdrosny
jet,odrzutowiec
jet plane,samolot odrzutowy
jeweller's,jubiler (sklep)
jogging,jogging
join,"zbiegać się, wpadać do, łączyć się"
join,"łączyć, spajać"
joke,żartować
joke,"dowcip, żart"
journalist,dziennikarz
judge,"osądzać, oceniać, wydawać opinię"
jug,dzbanek
juicy,soczysty
jump,"skok, podskok"
jungle,dżungla
just,po prostu
just,tylko
just,dokładnie
keen,"chętny, zainteresowany, zapalony do czegoś"
keep,"zatrzymać (kogoś), powstrzymać"
keeper,"dozorczyni, dozorca, stróż"
ketchup,keczup
kettle,czajnik
kid,"stroić sobie żarty, żartować"
kid,"dziecko, dzieciak"
killer,"zabójca, morderca"
killing,"zabójstwo, zabijanie, zabicie"
kindly,"uprzejmie, z życzliwością, życzliwie"
kitten,"kotek, kociak"
knee,kolano
knickers,majtki
knit,robić na drutach
knock,pukać
knowledge,wiedza
lab,laboratorium
label,"marka, firma"
label,"etykieta, metka"
laboratory,laboratorium
lack,brak
ladder,drabina
lady,"dama, kobieta, pani"
lamb,"jagnię, baranek"
lamb,jagnięcina
land,lądować
land,"ziemia, grunt"
landscape,krajobraz
last,"ostatnio, ostatnim razem"
last,trwać
lately,ostatnio
laugh,śmiech
law,prawo
lawyer,prawnik
lay the table,nakrywać do stołu
lead,"główny, prowadzący"
lead,prowadzić (wskazywać drogę)
leader,"przywódca, lider"
leaf,"liść, źdźbło"
league,liga
least,najmniej
leave,"odejść, opuścić"
lecture,wykład
leisure,"rekreacja, czas wolny"
length,długość
let,pozwolić
lettuce,sałata
level,"piętro, poziom"
lie,kłamstwo
lie,kłamać
life,"życie, sposób życia"
life,"życie (wszystko, co żyje)"
lift,podnosić
light,zapalić
light,"lekki, delikatny, łagodny"
lighter,zapalniczka
lightly,"lekko, delikatnie"
lightning,wyładowanie atmosferyczne; błyskawica
likely,prawdopodobny
likes and dislikes,sympatie i antypatie
limit,limit
limited,ograniczony
line,"linia, linijka (tekstu), wers wiersza"
link,"związek, powiązanie"
link,"link, odnośnik"
lip,warga
liquid,"ciecz, płyn"
literature,literatura
live,emitowany na żywo
live programme,program na żywo
lively,"pełen energii, żwawy, tętniący życiem, ożywiony, energiczny"
load,mnóstwo
loan,"kredyt, pożyczka"
local,"miejscowy, lokalny"
locally,"lokalnie, w okolicy; miejscowo"
located,"położony, usytuowany"
location,"lokalizacja, położenie"
lock,zamek
lock,zamykać na klucz
locker,"skrytka (np. na bagaż), szafka"
logo,"logo, znak firmowy"
lonely,samotny
look,spojrzenie
loose,luźny
lorry,ciężarówka
lose,"przegrać, stracić"
lost,"zaginiony, zgubiony; stracony"
lottery,loteria
loud,głośno
loudly,głośno
lover,"kochanka, kochanek"
low,nisko
low,"słabo, cicho"
luckily,"na szczęście, szczęśliwie"
luxury,"luksus, przepych"
madam,pani
magnificent,wspaniały
mail,wysyłać pocztą
main,główny
mainly,głównie
make,"zdążyć, dać radę przyjść"
male,"męski, męskiej płci"
male,"samiec, osobnik płci męskiej"
mall,centrum handlowe
manage,zarządzać
manage,"zdołać, dać radę, poradzić sobie"
marriage,małżeństwo
marry,"poślubić, wyjść za mąż, ożenić się"
marvellous,"cudowny, wspaniały"
mashed potatoes,puree ziemniaczane
match,pasować
match,dopasować
mate,"kolega, kumpel"
material,materiał (na książkę itp.)
math,"matma, matematyka (AmE)"
maximum,maksymalny
maximum,maksimum
mean,"zamierzać, mieć intencję, chcieć"
mean,"oznaczać, być jednoznacznym z czymś"
meaning,znaczenie
meanwhile,"w międzyczasie, w tym czasie"
medicine,medycyna
medium,średni
membership,członkostwo
memory,wspomnienie
memory,pamięć
mend,"naprawić, zreperować"
mention,"wspomnieć, nadmienić, napomknąć"
mess,bałagan
message board,"forum, internetowa tablica ogłoszeń"
messy,"zabałaganiony, brudny"
metal,metal
method,"metoda, sposób"
middle-aged,w średnim wieku
mild,"łagodny (klimat, pogoda)"
mile,mila
milk,doić
millimetre,milimetr
mind,mieć coś przeciwko
mind,"umysł, rozum"
mind,"uważać, być ostrożnym"
minimum,minimalny
minimum,minimum
miniseries,miniserial
miserable,"przygnębiony, nieszczęśliwy, smutny"
miss,"przeoczyć, przegapić, nie zauważyć, nie usłyszeć"
mistake,"źle zrozumieć, pomylić"
mix,mieszanka
model,"model, modelka"
modern,współczesny; nowożytny
moment,"moment, chwila (punkt w czasie)"
monster,potwór
monthly,"miesięcznie, co miesiąc"
monthly (magazine),miesięcznik
monument,pomnik
mood,nastrój
moody,"humorzasty, marudny"
mosquito,komar
mostly,głównie
motorcycle,motocykl
mountain range,łańcuch górski
mouse mat,podkładka pod myszkę
moustache,wąsy
move,"przeprowadzić się, przenieść się"
move in,wprowadzić się
move out,wyprowadzić się
much,"bardzo, często"
mule,muł
murder,morderstwo
murder,zamordować
murderer,morderca
musician,muzyk
mystery,"tajemnica, zagadka"
name,wymienić (z nazwy)
narrow,wąski
natural,naturalny (stworzony przez naturę)
navy blue,granatowy
near,"niedaleki, bliski"
nearby,pobliski
nearby,w pobliżu
neat,"schludny, czysty; staranny"
necessary,"potrzebny, konieczny"
negative,"przeciwny, sceptycznie nastawiony, negatywny"
neighbour,"sąsiad, państwo sąsiedzkie"
neighbourhood,"sąsiedztwo, okolica"
nephew,"siostrzeniec, bratanek"
nervous,"podenerwowany, zdenerwowany"
net,siatka
news,"wiadomości, nowiny, wieści"
newsagent's,kiosk z gazetami
next door,"obok, po sąsiedzku"
next-door,"sąsiedni, z sąsiedztwa"
nickname,"ksywa, przydomek, przezwisko"
niece,"bratanica, siostrzenica"
nightclub,klub nocny
nightlife,życie nocne
nightmare,"koszmar, koszmarny sen"
none,"żaden, żadna, ani jeden, ani jedno, ani trochę, wcale, nic"
normally,"na ogół, normalnie"
northeast,"na północnym wschodzie, na północny wschód"
northeast,północno-wschodni
northeast,północny wschód
northern,północny
northwest,"na północnym zachodzie, na północny zachód"
northwest,północno-zachodni
northwest,północny zachód
note,"zapisać, zanotować"
note,"zauważyć, zwrócić uwagę"
notice,"powiadomienie, uprzedzenie, ostrzeżenie"
notice,zauważyć
noticeboard,tablica ogłoszeń
novel,powieść
nowadays,"obecnie, teraz"
nowhere,"nigdzie, donikąd"
number,liczba
object,dopełnienie (w zdaniu)
object,"przedmiot, rzecz"
obvious,oczywisty
obviously,"oczywiście, najwyraźniej"
occasion,"okazja, wydarzenie"
ocean,ocean
off,mniej
offer,"oferować, proponować"
officer,"policjant/ka, funkcjonariusz/ka policji"
oil,ropa naftowa
old-fashioned,staromodny
olive,oliwka
on,"o, na temat czegoś"
on board,na pokładzie
once,"kiedyś, dawniej"
onto,"na, do"
open,"otwierać (program, plik)"
operate,"operować, przeprowadzić operację chirurgiczną"
operation,operacja chirurgiczna
opinion,"opinia (ekspertyza, orzeczenie)"
opinion,"opinia (mniemanie, ocena)"
opinion,"opinia (zdanie, pogląd)"
opposite,przeciwieństwo
opposite,naprzeciwko
opposite,przeciwny
option,"opcja, możliwość"
orchestra,orkiestra
order,kolejność
ordinary,"zwyczajny, zwykły"
organise,organizować
organization,organizacja (proces)
organization,organizacja
original,"oryginalny (prawdziwy, nie skopiowany)"
original,"oryginalny, nowy, nowatorski, pomysłowy"
original,"pierwotny, początkowy"
otherwise,w przeciwnym razie; bo inaczej
out,"dostępny na rynku, wydany"
out of work,"bez pracy, bezrobotny"
out-of-date,przeterminowany
out-of-date,"przestarzały, staromodny"
outdoor,"odkryty, terenowy, na świeżym powietrzu"
outdoors,"na zewnątrz, na dworze"
oven,"piekarnik, piec"
over,po drugiej stronie
over,"w trakcie, podczas"
over,"przez, nad"
over,skończony
overnight,"nocny, całonocny"
overnight,"na noc, przez noc"
owe,być winnym (coś komuś)
own,posiadać
owner,właściciel
packet,paczka
palace,pałac
pan,rondel
pants,majtki
paper,gazeta (pot.)
paragraph,akapit
parcel,paczka
parking,parkowanie
parrot,papuga
part,rola
part-time,"w niepełnym wymiarze godzin, na pół etatu"
part-time,"niepełnoetatowy, w niepełnym wymiarze godzin, na pół etatu"
particularly,szczególnie
partly,częściowo
partner,"partnerka, partner"
party,partia
pass,"podać, przekazać"
pass,przepustka; bilet okresowy
pass,"minąć, przejść obok"
pass,"mijać, upływać"
passive,bierny (w gramatyce)
password,hasło
past,"przeszły, wcześniejszy, miniony, ostatni, dotychczasowy"
patient,"pacjentka, pacjent"
patient,cierpliwy
pattern,wzór
pause,"zatrzymać (się), zrobić przerwę"
pavement,chodnik
pay,"wynagrodzenie, płaca, zapłata"
pea,groszek
peace,spokój
peaceful,spokojny
peach,brzoskwinia
peak,szczyt
peanut,orzech ziemny
pedestrian,pieszy
peel,obierać
penguin,pingwin
penny,pens
pepper,papryka
per cent,procent
percent,procent
perfectly,"idealnie, doskonale"
perform,"przedstawiać, występować, grać, dawać przedstawienie, koncert, itp."
performance,"przedstawienie, występ"
performer,"wykonawca, artysta"
period,"lekcja, godzina lekcyjna"
period,okres
permanent,"trwały, stały"
permission,pozwolenie
permit,"pozwalać, zezwalać"
permitted,dozwolony
personal,"osobisty, prywatny"
personally,"osobiście (uważam), jeśli o mnie chodzi"
pharmacy,apteka
photocopier,kserokopiarka
photocopy,kserokopia
phrase,"zwrot, wyrażenie"
pick,zbierać (np. kwiaty)
pick,wybrać
picture,film
pie,"ciasto; zapiekanka, placek"
pile,"stos, sterta"
pill,pigułka
pin,szpilka
pin,"przypiąć szpilką, agrafką, itp."
pincushion,poduszeczka na szpilki
pineapple,ananas
pipe,rura
pirate,pirat
place,"miejsce, pozycja"
plain,"zwyczajny, prosty"
planet,planeta
plant,sadzić
pleasantly,"przyjemnie, miło"
please,zadowolić
pleasure,przyjemność
plenty (of something),"mnóstwo, duża ilość, dostatek"
plug,"korek, zatyczka"
plug,wtyczka
plum,śliwka
pocket,"kieszeń, kieszonka (np. w plecaku, na fotelu, w samochodzie, itp.)"
poem,wiersz
poet,"poetka, poeta"
poetry,poezja
point,punkt
point,"celować, skierować, mierzyć"
politely,"uprzejmie, grzecznie"
political,polityczny
politically,"politycznie, z politycznego punktu widzenia"
politician,polityk
politics,polityka
pollution,zanieczyszczenie
pool,bilard
popularity,popularność
population,"populacja, liczba ludności"
pork,wieprzowina
port,port
position,pozycja
position,"sytuacja, stan"
positive,"pozytywny, nastawiony optymistycznie"
possibility,"prawdopodobieństwo, możliwość"
post,"post, wpis w internecie"
post,"zamieścić, opublikować (w internecie)"
postman,listonosz
postpone,przełożyć (na inny termin)
pot,doniczka
pot,garnek
pour,nalewać
pour,lać
powder,"proszek, puder"
power,"energia, zasilanie, moc"
powerful,wpływowy
powerful,"mocny, potężny, silny"
pray,modlić się
prayer,modlitwa
pregnant,"w ciąży, ciężarna"
preparation,"przygotowanie, przygotowania"
prepare,"przygotować się, przyszykować się"
prepared,"przygotowany, gotowy"
preposition,przyimek
prescription,recepta
present,"obecny, aktualny"
present,obecny
presentation,prezentacja
president,prezydent
press,przyciskać
pretty,"raczej, dosyć"
prevent,"zapobiegać; powstrzymać, nie dopuścić"
previous,"poprzedni, wcześniejszy"
previously,"poprzednio, wcześniej"
priest,ksiądz
primary,"podstawowy (szkoła, edukacja, itp.)"
prince,książę
princess,"księżniczka, księżna"
principal,główny
prison,więzienie
prisoner,więzień
private,"prywatny, dla wtajemniczonych"
private,"własny, prywatny, osobisty"
produce,produkować
product,produkt
profession,"profesja, zawód"
professional,zawodowy
professor,profesor
progress,"postęp, postępy, rozwój"
promise,obietnica
promise,obiecać
promote,awansować (kogoś)
pronoun,zaimek
pronounce,wymawiać
pronunciation,wymowa
proper,"właściwy, odpowiedni, stosowny, porządny"
properly,"właściwie, prawidłowo, jak należy, porządnie"
property,"mienie, własność"
protect,chronić
proud,dumny
prove,udowodnić
provide,"zapewnić, dostarczyć, wyposażyć w coś; świadczyć (usługi)"
public,publiczny; państwowy
public transport,transport publiczny
publish,"wydawać, publikować"
pudding,"budyń, pudding"
pullover,pulower
puma,puma
pump,pompa
punctual,punktualny
punctuation,interpunkcja
punish,karać
puppy,"szczeniak, szczenię"
pure,czysty
purpose,cel
push,pchnięcie
put on weight,"tyć, przybierać na wadze"
qualification,"kwalifikacja, uprawnienie"
qualified,"dyplomowany, certyfikowany"
quality,jakość
quality,"wysokiej jakości, dobry jakościowo"
quantity,ilość
quarrelsome,kłótliwy
questionnaire,"kwestionariusz, ankieta"
queue,kolejka
quiet,"milczący, cichy"
quietly,"po cichu, cicho"
quit,rzucić pracę
quit,"przestać coś robić, rzucić, zrezygnować z czegoś"
race,"ścigać się; gnać, pędzić"
radio,radio
rail,kolej
railroad,kolej żelazna (AmE)
rainforest,las deszczowy
rainy,deszczowy
raise,"podnosić, unosić"
raise,podwyżka (AmE)
range,"asortyment, wachlarz, wybór, gama"
rare,rzadki
rarely,rzadko
rather,"dość, raczej"
raw,"surowy, niegotowany"
reach,"dostać się gdzieś, dotrzeć"
reader,czytelnik
reader,"lektura uproszczona, czytanka"
realize,"zdać sobie sprawę, zorientować się"
reasonable,"rozsądny, niewygórowany"
rebuild,odbudować
recent,"ostatni, niedawny"
recently,"ostatnio, niedawno"
reception,recepcja
recipe,przepis
recognize,"rozpoznać, poznać"
recommend,"polecić, rekomendować"
record,rekord
record,płyta
recording,nagranie
recover,"zdrowieć, wracać do zdrowia"
recover,odzyskać
recycle,"poddać recyklingowi, przerobić, ponownie wykorzystać"
recycled,"poddany recyklingowi, przetworzony, z recyklingu"
recycling,"recykling, utylizacja"
reduce,"obniżyć, zredukować, zmniejszyć"
referee,sędziować
refreshments,przekąski
refund,zwrot kosztów
regarding,"w związku z, odnośnie"
regards,pozdrowienia
region,region
register,"rejestrować (się), zapisać (się)"
registration,"rejestracja, zapisy"
regret,żałować
regular,"regularny, częsty, zwyczajowy"
regular,"regularny (czasownik, odmiana)"
regularly,regularnie
reindeer,renifer
relation,"krewna, krewny"
relationship,związek; relacja
relative,"krewna, krewny"
relax,"odpoczywać, relaksować się"
relaxation,"relaks, odpoczynek, wytchnienie"
relaxed,"zrelaksowany, odprężony, wypoczęty"
relaxing,relaksujący
reliable,"rzetelny, niezawodny"
religion,religia
remain,"nie zmienić się, zachować (np. ciszę, spokój)"
remind,przypominać
remote control,"pilot (do urządzenia, np. telewizora)"
remove,usunąć; zdjąć
repair,naprawa
replace,"wymienić, zastąpić"
reply,odpowiadać
reply,odpowiedź
report,"zgłaszać, meldować"
report,"raport, sprawozdanie"
report,"relacjonować, przedstawić sprawozdanie"
reporter,reporter
request,"prośba, życzenie, wniosek"
request,prosić
require,wymagać
rescue,ratować
rescue,"ratunek, akcja ratunkowa"
research,"badania, badania naukowe"
reservation,rezerwacja
reserve,zarezerwować
resort,kurort
respect,"szanować, poważać"
respect,szacunek
rest,odpoczywać
result,wynik
result,"rezultat, skutek, wynik, efekt"
retire,przejść na emeryturę
return,powrotny
return,powrót
return,klawisz enter
return ticket,bilet powrotny
review,recenzja
revise,powtarzać (przed egzaminem)
revision,powtórka (do egzaminu)
reward,nagroda; nagroda pieniężna
ride,przejażdżka; jazda
rider,"motocyklista, rowerzysta"
rider,jeździec (np. konny)
right,"odpowiedni, właściwy"
right-handed,praworęczny
rise,wschodzić (słońce)
rise,"podnosić się, wzrastać, rosnąć"
rob,"okraść, obrabować"
rock,"skała; kamień, głaz"
role,rola
roll,bułka
romance,romans
romance,"romantyka, romantyczność"
romantic,romantyczny
rose,róża
rough,"szorstki, chropowaty"
rough,"przybliżony, wstępny"
round,"do tyłu, za siebie"
round,"po, w (jakimś miejscu)"
route,trasa
routine,"rutyna, ustalony porządek"
row,rząd (np. miejsc)
rubbish,śmieci
rude,"niegrzeczny, nieuprzejmy, ordynarny, gruboskórny"
rug,"dywanik, chodnik"
ruin,ruina
rule,"zasada, reguła, przepis"
run,bieg
run,"prowadzić (firmę, biznes)"
safely,bezpiecznie
sail,"żeglować, płynąć"
sailor,"marynarz, żeglarz, żeglarka"
salary,pensja
salesman,"sprzedawca, handlarz"
saleswoman,sprzedawczyni
salmon,łosoś
salmon,łosoś
sand,piasek
sandal,sandał
sandy,piaszczysty
sandy beach,plaża piaszczysta
satisfied,"zadowolony, usatysfakcjonowany"
saucepan,rondel
saucer,spodek
save,"uratować, ocalić"
saxophone,saksofon
scanner,skaner
scared,"wystraszony, przestraszony"
scary,"przerażający, straszny"
scene,"scena (fragment filmu, sztuki, itp.)"
scenery,"sceneria, krajobraz, pejzaż"
science,"dyscyplina naukowa, nauka"
science fiction,"science fiction, fantastyka naukowa"
scientific,naukowy
scientist,naukowiec
score,"wynik, punktacja"
score,"zdobyć (punkty, gola)"
scream,"krzyczeć, wrzeszczeć"
scream,"wrzask, krzyk"
sculpture,rzeźba
search,"przeszukiwanie, poszukiwanie"
search,"przeszukiwać, szukać"
seasickness,choroba morska
seaside,"wybrzeże, teren nadmorski"
season,pora roku
seatbelt,pas bezpieczeństwa
second-hand,"z drugiej ręki, używany"
secondary,"ponadpodstawowa, średnia (szkoła)"
secondary school,szkoła średnia
secret,"tajny, sekretny, ukryty, potajemny"
secret,"tajemnica, sekret"
secretly,"potajemnie, w sekrecie, w tajemnicy"
section,"sekcja, odcinek, dział, rozdział"
security,bezpieczeństwo
security,ochrona (osoby pilnujące)
see,rozumieć
seem,wydawać się
select,wybrać
self-confident,pewny siebie
self-service,samoobsługowy
selfish,"egoistyczny, samolubny"
seller,"sprzedawczyni, sprzedawca"
sense,"poczucie, wyczucie; zmysł"
sensible,rozsądny
separate,"osobny, oddzielny"
series,"serial (telewizyjny), cykl (radiowy)"
seriously,"poważnie, bardzo, ciężko"
serve,obsługiwać
service,obsługa
session,sesja
set,"nastawić, ustawić"
set,"ustalić, wyznaczyć"
set,"umiejscowić (np. akcję filmu, książki)"
set,zachodzić (o słońcu)
settee,kanapa (BrE)
sew,szyć
sex,płeć
sex,seks
shade,cień
shadow,cień
shake,potrząsać
shake hands,uścisnąć sobie ręce
shape,kształt
shark,rekin
sharp,ostry
shave,"golić, golić się"
sheet,prześcieradło
shiny,"lśniący, błyszczący"
shock,"szok, wstrząs"
shocked,zszokowany
shocking,szokujący
shoot,strzelać (np. celować piłką do bramki)
shoot,strzelać
shop,robić zakupy
shore,"wybrzeże, brzeg"
should,"powinien, powinna, powinno, powinni, etc. (oczekiwanie, prawdopodobieństwo)"
shoulder,"ramię, bark"
shout,krzyk
shower,"przelotny deszcz, deszczyk, ""kapuśniak"""
shower curtain,zasłona prysznicowa
shrimp,krewetka
shut,zamknięty
shy,nieśmiały
side,bok
sidewalk,chodnik (AmE)
sight,wzrok
sign,podpisać
sign,oznaka
sign,"znak, sygnał"
signature,podpis
signpost,drogowskaz
silence,cisza
silent,"bezgłośny, cichy"
silk,jedwab
silly,"głupi, głupawy, głupiutki, niemądry"
similar,podobny
since,"ponieważ, skoro"
single parent,rodzic samotnie wychowujący dziecko
single room,pokój jednoosobowy
single ticket,bilet w jedną stronę
sink,tonąć
sir,"pan, proszę pana"
situated,"usytuowany, położony"
situation,sytuacja
ski,jeździć na nartach
ski,narta
ski lift,wyciąg narciarski
skill,umiejętność
skin,skóra
sleep,sen
sleepy,"śpiący, senny"
sleeve,rękaw
sliced white bread,chleb tostowy
slip,poślizgnąć się
slippers,"kapcie, papucie"
smart,"elegancki, gustowny"
smart,"bystry, inteligentny, mądry"
smell,śmierdzieć
smell,pachnieć
smell,"wąchać, czuć zapach"
smell,zapach
smile,uśmiech
smile,uśmiechać się
smoke,dym
smooth,"gładki, równy"
snowboard,"snowboard, deska snowboardowa"
soap dish,mydelniczka
soap opera,"telenowela, opera mydlana, serial tasiemcowy"
sociable,towarzyski
social,towarzyski
socially,towarzysko
society,społeczeństwo
soft,"łagodny, delikatny, cichy, spokojny"
softly,"łagodnie, delikatnie"
solution,rozwiązanie
solve,rozwiązywać
somehow,jakoś
sore,"obolały, bolesny"
sound,"wydawać się, brzmieć"
sour,kwaśny
southeast,południowo-wschodni
southeast,"na południowym wschodzie, na południowy wschód"
southeast,południowy wschód
southern,południowy
southwest,południowo-zachodni
southwest,południowy zachód
southwest,"na południowym zachodzie, na południowy zachód"
souvenir,"pamiątka, upominek, prezent"
souvenir shop,sklep z pamiątkami
space,"kosmos, przestrzeń kosmiczna"
spaghetti,spaghetti
sparkling,gazowany
speaker,"osoba, która mówi w danym języku"
speaker,"mówca, prelegent"
special,specjalny
special offer,promocja
specially,specjalnie
spectacular,"spektakularny, nadzwyczajny"
speech,"mowa, zdolność mówienia"
speed,prędkość
spice,przyprawa
spicy,"ostry, pikantny"
spider,pająk
spill,rozlać
spinach,szpinak
split up,"rozstać się, zerwać, zakończyć związek"
spoil,"zepsuć, zmarnować"
sports,sportowy
sports shop,sklep sportowy
spot,"plama, kropka"
spy,szpieg
squash,squash
stair,"schodek, stopień"
stall,"stragan, stoisko"
stand,"znieść, wytrzymać"
star,"grać, występować w głównej roli"
start,początek
start,"zapoczątkować, zainicjować, wszcząć"
starter,przystawka
station,stacja (np. radiowa)
statue,"posąg, statua"
stay,pobyt
steep,stromy
step,stąpać; nadepnąć
step,"schodek, stopień"
step,krok
stick,"patyk, kijek"
stick,przykleić
sticky,"klejący, lepki"
still,niegazowany
stink,śmierdzieć
stir,mieszać
stone,kamień
stop,"zatrzymać się, zrobić postój"
store,sklep
straight,"od razu, prosto, bezpośrednio"
strange,"obcy, nieznajomy"
stranger,"nieznajomy, obca osoba"
strawberry,truskawka
stream,"strumień, strumyk, potok"
stress,stres
stressed,zestresowany
stressful,stresujący
strict,"surowy, srogi"
strike,strajk
strike,uderzać
stripe,pasek
striped,w paski
strong,"mocny, intensywny (smak, zapach, itp.)"
strong,"mocny, solidny, wytrzymały"
studio,studio
study,pracownia; gabinet
stuff,rzeczy
style,moda
style,"styl (rodzaj, forma, model)"
stylish,"stylowy, modny, elegancki"
subject,temat
succeed,"odnieść sukces, udać się"
success,sukces
successful,"udany, pomyślny, zakończony powodzeniem"
suddenly,nagle
suggest,"sugerować, proponować"
suggestion,"sugestia, propozycja"
suitable,odpowiedni
sum,"kwota, suma"
summertime,"okres lata, pora letnia, lato"
sunbathe,opalać się
sunflower oil,olej słonecznikowy
sunrise,wschód słońca
sunset,zachód słońca
sunshine,"słońce,  światło słoneczne"
support,"wspierać, udzielać wsparcia, dawać wsparcie"
support,"wsparcie, pomoc"
support,"wspierać, kibicować"
support,utrzymywać; wspierać finansowo
supporter,"zwolennik, kibic"
suppose,"przypuszczać, sądzić"
surf,surfować
surfboard,deska surfingowa
surprise,"zaskoczyć, zrobić niespodziankę"
surprising,"zaskakujący, zadziwiający"
surprisingly,"zaskakująco, nieoczekiwanie"
surround,otaczać
sushi,sushi
sweatshirt,bluza
sweet,"miły, kochany"
sweetcorn,kukurydza
swimmer,"pływak, pływaczka"
swimming trunks,kąpielówki
switch,"włącznik, przełącznik"
switch off,wyłączyć
switch on,włączyć
system,"system, układ, siatka (np. urządzeń, elementów)"
tablet,tabletka
take,"nosić (rozmiar ubrania, buta)"
takeaway,jedzenie na wynos
talent,talent
talented,utalentowany
talk,rozmowa
tap,kran
tape,"taśma, kaseta"
taste,smak
taste,"próbować, smakować"
taste,"mieć smak, smakować"
tasty,"smakowity, smaczny"
tax,podatek
tea,podwieczorek (BrE)
teaching,nauczanie
team,"zespół, team"
teapot,czajniczek do herbaty
tear,drzeć
tear,łza
technique,"technika, metoda, sposób"
technology,technologia
teenage,nastoletni
temple,świątynia
temporary,"tymczasowy, czasowy"
tense,czas (gramatyczny)
tent,namiot
terribly,"bardzo, strasznie, okropnie (dla wzmocnienia)"
terrific,"świetny, fantastyczny"
terrified,przerażony
test,badanie
test,"badać, sprawdzać, testować"
thanks,"podziękowanie, podziękowania"
the news,wiadomości
the seaside,"wybrzeże, teren nadmorski"
the worst,"to, co najgorsze"
therefore,"dlatego, dlatego też, z tego powodu"
thick,gruby
thick,"gęsty, bujny"
thief,złodziej
thinking,myślenie
though,"chociaż, mimo że"
thought,"myśl, przemyślenie, pomysł"
thriller,thriller
throat,gardło
through,"przez, za pomocą, za pośrednictwem"
through,"przez (cały, całą, itd.)"
through,"całkiem, kompletnie, na wskroś"
through,"przez, w wyniku czegoś, z powodu czegoś"
thumb,kciuk
thunder,grzmot
tick,"ptaszek, haczyk (zaznaczenie)"
tick,"odhaczyć, zaznaczyć"
tie,wiązać
tiger,tygrys
tight,"ciasny, obcisły"
timetable,"rozkład jazdy, lotów, rejsów"
tin,puszka
tin opener,otwieracz do puszek
tiny,"malutki, drobny"
tip,"rada, wskazówka"
tip,napiwek
tiring,męczący
tissue,chusteczka higieniczna
toaster,toster
tolerant,tolerancyjny
tongue,język
toothpaste,pasta do zębów
top,"górny, najwyższy"
top,"bluzka, top"
top,"najlepszy, czołowy"
topic,temat
tortoise,żółw lądowy
total,"zsumować; wynosić, dawać w sumie, sięgać"
total,"suma, łączna kwota"
total,"całkowity, ogólny"
totally,"całkowicie, kompletnie, zupełnie, totalnie"
touch,dotykać
tour,"zwiedzać, jeździć po (np. mieście, kraju), objeżdżać"
tourism,turystyka
tournament,turniej
towards,"w kierunku, ku, do, w stronę"
tower,wieża
track,"ścieżka, szlak"
track,"tor, bieżnia"
tracksuit,dres
trade,handel
traditional,tradycyjny
traffic jam,korek uliczny
train,"trenować, ćwiczyć"
trainer,"trener, szkoleniowiec"
training,"trening, ćwiczenia"
training,szkolenie
transfer,przenieść
translate,tłumaczyć (język)
translation,tłumaczenie
transport,transport
trash,śmieci
travel,"podróż, podróżowanie"
travel agent,pracownik biura podróży; biuro podróży
traveller,"podróżnik, podróżujący, turysta"
trend,"trend, tendecja"
trick,"kawał, psikus"
trick,sztuczka
trolleybus,trolejbus
trouble,"kłopot, problem"
truck,ciężarówka
trumpet,trąbka
trust,"ufać, wierzyć"
truth,prawda
try,"wypróbować, przetestować"
tube,tubka
tuna,tuńczyk
tuna,tuńczyk
tunnel,tunel
turkey,indyk
turkey,indyk
turn,odwracać się
turn,przewrócić (kartę)
turning,zakręt
turtle,żółw (wodny)
twin,bliźniak
twin room,pokój dwuosobowy z osobnymi łóżkami
type,pisać na klawiaturze
typical,"typowy, charakterystyczny"
typically,"zazwyczaj, na ogół"
ugly,brzydki
