Słowo angielskie,Tłumaczenie
stomach,żołądek
stomach ache,ból brzucha/żołądka
stop,zatrzymać (się)
storm,"burza, sztorm"
story,"opowiadanie, historia"
stove,kuchenka
straight,"prosto (w prostej linii), na wprost"
straight,prosty
strange,dziwny
strong,"silny, dzielny, twardy"
strong,silny
studies,studia
stupid,głupi
such,taki
suit,garnitur
suitcase,walizka
sunglasses,okulary przeciwsłoneczne
sunny,słoneczny
super,"świetny, super"
supper,kolacja
sure,pewnie; oczywiście
sure,pewny
surf,surfować (po internecie)
surfing,surfing
surname,nazwisko
surprise,"niespodzianka, zaskoczenie"
surprised,zaskoczony
sweater,sweter
sweet,cukierek
sweet,"słodki, uroczy"
sweets,słodycze
swim,"kąpiel, pływanie (w rzece, morzu, itp.)"
swimming,pływanie
swimming costume,kostium kąpielowy
swimsuit,kostium kąpielowy
table tennis,tenis stołowy
take,"zabierać, zajmować"
take,"przyjmować, brać"
take,"wziąć (np. taksówkę), jechać (np. trasą), łapać (np. pociąg)"
take an exam,"przystąpić do egzaminiu, zdawać egzamin"
take off,wystartować (o samolocie)
take off,zdjąć (np. ubranie)
team,"drużyna, zespół"
teenager,nastolatek
telephone,telefonować
telephone,telefon
temperature,temperatura
term,semestr
terrible,"okropny, straszny"
text,tekst
text,"SMS, wiadomość tekstowa"
text,wysłać wiadomość tekstową (SMS)
text message,wiadomość tekstowa; sms
textbook,podręcznik
thank,dziękować
that,że
the country,wieś
the net,sieć (internet)
the superlative,stopień najwyższy
the Web,"internet, sieć"
theatre,teatr
theirs,ich
themselves,"się, sobie, sobą, siebie, same / sami (3. os. l.mn.)"
thin,cienki
thin,chudy
third,trzeci
thirsty,spragniony
thousand,tysiąc
through,"przez, z jednej strony na drugą"
throw,rzucać
thunderstorm,burza z piorunami
ticket office,kasa biletowa
tidy,"uporządkowany, porządny, schludny"
tidy,sprzątać
tidy up,posprzątać
tie,krawat
tights,rajstopy
till,"aż (do), do; dopóki nie"
timetable,plan lekcji
toast,"grzanka, tost"
toe,palec u stopy
tonight,dziś wieczorem
tonight,"dzisiejszy wieczór, ten wieczór"
toothache,ból zęba
toothbrush,szczoteczka do zębów
top,"wierzch, góra, górna część, górna powierzchnia"
top,szczyt
tour,wycieczka objazdowa
tour guide,przewodnik/przewodniczka wycieczek
tourist,"turystka, turysta"
tourist information centre,biuro informacji turystycznej
towel,ręcznik
toy,zabawka
toy shop,sklep z zabawkami
traffic,"ruch uliczny, ruch drogowy"
traffic light,sygnalizacja świetlna
traffic lights,światła uliczne
trainers,buty sportowe ('adidasy')
tram,tramwaj
trip,wycieczka
true,prawdziwy
try,"próbować, starać się"
try on,przymierzyć (ubranie)
tune,melodia
turn,skręcać
turn off,wyłączyć
turn on,włączyć
twentieth,dwudziesty
twice,dwa razy
type,rodzaj
tyre,opona
umbrella,parasol
uncle,wujek
under,"poniżej, mniej niż"
underground,metro
unfortunately,niestety
unhappy,"nieszczęśliwy, niezadowolony"
uniform,"mundur; mundurek, uniform"
unusual,niezwykły
up,"u góry, na/w górze"
upset,"zły; zmartwiony, zasmucony"
upstairs,"na górze, na górę"
use,"użycie, użytkowanie"
useful,"użyteczny, przydatny"
usually,"zwykle, zazwyczaj"
variety,różnorodność; wybór
various,"rozmaity, różny"
verb,czasownik
versus,"kontra, przeciwko"
video,"wideo, teledysk, krótki film"
video game,gra wideo
view,widok
violet,"fioletowy, fiołkowy"
violin,skrzypce
visitor,"gość, osoba zwiedzająca"
vocabulary,słownictwo
volleyball,siatkówka
walk,spacer
walking,"spacerowanie, chodzenie, wędrówki"
wallet,portfel
war,wojna
warm,ciepły (ubranie)
wash,"mycie, kąpiel, czyszczenie"
washing,pranie
washing machine,pralka
washing-up,zmywanie naczyń
way,"droga, trasa"
way,"metoda, sposób"
web page,strona internetowa
weekday,dzień powszedni
weekly,"co tydzień, tygodniowo"
weekly,"cotygodniowy, tygodniowy"
Welcome!,"witam, witamy"
well-known,"znany, sławny"
west,"na zachód, na zachodzie"
west,zachodni
west,zachód
wet,mokry
wheel,koło
which,"który, jaki"
while,"podczas gdy, kiedy"
white,"biały (np. wino, cukier, chleb); z mlekiem"
white,"biały kolor, biel"
whole,cały
whose,czyj
wide,szeroki
wild,dziki
will,"czasownik modalny, stosowany m.in. w orzeczeniu w czasach Future"
win,zdobyć (np. nagrodę)
win,wygrać
windy,wietrzny
winner,zwycięzca
without,bez
wonderful,"cudowny, wspaniały"
wood,las
wood,drewno
wooden,drewniany
woods,las
wool,wełna
work,działać
worker,"pracownik, robotnik"
worried,zmartwiony
worry,martwić się
worse,gorszy
worst,najgorszy
wow,"Wow! (wyraz niespodzianki, zachwytu, itp.)"
writer,"pisarka, pisarz"
wrong,źle
yeah,"taa, tak"
year,rok
yellow,"żółć, żółty kolor"
yet,jeszcze; już
yoghurt,jogurt
yogurt,jogurt
yours,"twój, wasz, pani, pana; swój,"
yourself,"się, sobie, sobą, siebie; sama / sam (2. os. l. poj.)"
zero,zero
